T [GeV]		heff			          Sqrt[geff]		      Sqrt[g*]
12589.25	106.83001038648813	10.335866352203652	10.335880201584999
11885.04	106.82996211229715	10.335864682199732	10.335879911011949
11220.19	106.82990859923521	10.335862836309042	10.33587969062987
10592.56	106.82984925268882	10.335860794913634	10.335879436761372
10000.		106.82978339561934	10.33585853568151	10.335879172553735
9440.606	106.82971028414443	10.335856034103578	10.335878891711078
8912.53		106.82962908193937	10.335853262639285	10.33587859471963
8413.95		106.8295388390608	10.335850190006852	10.335878279822255
7943.284	106.82943851858649	10.33584678211905	10.335877946675796
7498.942	106.82932694012898	10.335843000146534	10.335877593887961
7079.457	106.82920279177542	10.335838800983822	10.335877220166223
6683.455	106.8290646092741	10.335834136525348	10.335876824702284
6309.586	106.8289107337722	10.335828952273165	10.335876405896476
5956.636	106.82873933226554	10.33582318804163	10.3358759628727
5623.426	106.82854833700341	10.335816775915715	10.335875495050635
5308.843	106.82833543238014	10.335809639873776	10.33587499637496
5011.873	106.82809805858089	10.335801695967687	10.335874471000661
4731.512	106.82783329986833	10.335792848329762	10.335873916560576
4466.837	106.82753792384295	10.335782990860727	10.335873328994547
4216.965	106.8272082936565	10.33577200408904	10.33587270746057
3981.071	106.82684034927794	10.33575975463503	10.335872050320786
3758.375	106.82642954058976	10.33574609291438	10.335871356731088
3548.141	106.82597077574151	10.335730851482154	10.335870623421679
3349.663	106.82545832448382	10.335713841785312	10.33586984998155
3162.285	106.82488578906137	10.335694853151256	10.335869032288267
2985.382	106.82424598239436	10.335673648739473	10.335868178123942
2818.396	106.8235309879211	10.335649967321391	10.335867263585023
2660.725	106.82273163078385	10.335623506411702	10.3358663048851
2511.887	106.82183800315008	10.33559393829166	10.335865299747532
2371.374	106.82083876807881	10.335560887776547	10.335864244249644
2238.721	106.8197212767422	10.335523935622058	10.335863143654828
2113.489	106.81847138749043	10.33548261271131	10.335861982232013
1995.262	106.81707325654342	10.335436392320881	10.335860760741632
1883.65		106.81550916446892	10.335384684351185	10.335859489667733
1778.279	106.8137591613146	10.335326823142783	10.335858171144682
1678.808	106.81180113250912	10.335262069124344	10.335856806711242
1584.893	106.80960984174767	10.335189576479312	10.335855401026624
1496.235	106.80715762749332	10.33510841555549	10.335853951278416
1412.538	106.80441327618675	10.335017534477966	10.335852376544603
1333.521	106.8013418250477	10.334915751579437	10.335850794875922
1258.929	106.79790417248246	10.334801740791248	10.335849435529893
1188.502	106.79405577179597	10.334673986721233	10.335847694831035
1122.018	106.7897486984115	10.334530851363471	10.335846336614104
1059.254	106.78492701159371	10.334370416638437	10.335844893103843
1000.	  	106.77953006671167	10.334190593004227	10.335843441955445
944.0607	106.77348922627039	10.333989004748979	10.335841432010449
891.253		106.76672797744664	10.33376298963994	10.335842199356499
841.3969	106.75915698391016	10.333509384071222	10.335839165453413
794.3284	106.75068939350484	10.333225249836886	10.335837541614453
749.8942	106.74120967415061	10.332906379057254	10.33583836933889
707.9456	106.73060117438939	10.33254865415913	10.33583775405414
668.344		106.71873061369803	10.332147290510692	10.335837987079772
630.9573	106.70544894688585	10.33169689849506	10.335838618071325
595.6623	106.69059051593102	10.331191438141696	10.33583986800635
562.3413	106.67397010810832	10.33062410021172	10.335841806163694
530.8843	106.65538198320553	10.329987249454629	10.335844540786459
501.1873	106.63459718560354	10.329272311225209	10.33584815989203
473.1523	106.61136138918758	10.328469655207456	10.335852782798812
